iter	Passed	Remaining
673	5493	2656
674	5501	2649
675	5510	2641
676	5518	2632
677	5527	2624
678	5535	2616
679	5542	2608
680	5551	2600
681	5558	2591
682	5566	2583
683	5574	2575
684	5583	2567
685	5590	2559
686	5598	2550
687	5606	2542
688	5614	2534
689	5623	2526
690	5630	2517
691	5638	2509
692	5647	2501
693	5655	2493
694	5664	2485
695	5672	2477
696	5680	2469
697	5687	2460
698	5696	2452
699	5704	2444
700	5711	2436
701	5720	2428
702	5727	2419
703	5735	2411
704	5743	2403
705	5751	2395
706	5759	2386
707	5767	2378
708	5774	2370
709	5782	2361
710	5791	2353
711	5798	2345
712	5805	2337
713	5814	2329
714	5823	2321
715	5836	2314
716	5844	2306
717	5856	2300
718	5864	2292
719	5873	2283
720	5881	2275
721	5888	2267
722	5897	2259
723	5905	2251
724	5912	2242
725	5922	2235
726	5932	2227
727	5939	2219
728	5948	2211
729	5956	2202
730	5964	2194
731	5972	2186
732	5979	2178
733	5987	2170
734	5996	2162
735	6004	2153
736	6012	2145
737	6020	2137
738	6028	2129
739	6036	2120
740	6044	2112
741	6052	2104
742	6060	2096
743	6068	2087
744	6075	2079
745	6084	2071
746	6092	2063
747	6099	2055
748	6107	2046
749	6116	2038
750	6124	2030
751	6132	2022
752	6140	2014
753	6148	2005
754	6156	1997
755	6165	1989
756	6173	1981
757	6181	1973
758	6190	1965
759	6197	1957
760	6205	1948
761	6213	1940
762	6221	1932
763	6229	1924
764	6239	1916
765	6246	1908
766	6254	1899
767	6263	1891
768	6270	1883
769	6279	1875
770	6287	1867
771	6296	1859
772	6303	1851
773	6310	1842
774	6318	1834
775	6326	1826
776	6334	1818
777	6341	1809
778	6349	1801
779	6358	1793
780	6365	1785
781	6372	1776
782	6381	1768
783	6389	1760
784	6397	1752
785	6406	1744
786	6414	1736
787	6422	1727
788	6430	1719
789	6437	1711
790	6445	1702
791	6453	1694
792	6460	1686
793	6468	1678
794	6476	1670
795	6484	1661
796	6492	1653
797	6500	1645
798	6509	1637
799	6516	1629
800	6525	1621
801	6534	1613
802	6542	1605
803	6551	1597
804	6560	1589
805	6568	1581
806	6576	1572
807	6585	1564
808	6593	1556
809	6603	1549
810	6614	1541
811	6626	1534
812	6637	1526
813	6648	1519
814	6662	1512
815	6677	1505
816	6691	1498
817	6704	1491
818	6715	1484
819	6728	1476
820	6741	1469
821	6751	1461
822	6764	1454
823	6779	1448
824	6789	1440
825	6797	1431
826	6807	1423
827	6816	1416
828	6827	1408
829	6838	1400
830	6847	1392
831	6857	1384
832	6867	1376
833	6877	1368
834	6887	1360
835	6896	1352
836	6905	1344
837	6918	1337
838	6930	1329
839	6942	1322
840	6954	1314
841	6964	1306
842	6977	1299
843	6989	1291
844	6998	1283
845	7008	1275
846	7019	1267
847	7027	1259
848	7038	1251
849	7047	1243
850	7057	1235
851	7068	1227
852	7078	1219
853	7089	1211
854	7100	1204
855	7115	1197
856	7134	1190
857	7156	1184
858	7180	1178
859	7194	1171
860	7203	1162
861	7211	1154
862	7219	1146
863	7228	1137
864	7236	1129
865	7244	1120
866	7253	1112
867	7261	1104
868	7270	1095
869	7279	1087
870	7288	1079
871	7296	1071
872	7304	1062
873	7313	1054
874	7320	1045
875	7329	1037
876	7338	1029
877	7346	1020
878	7357	1012
879	7365	1004
880	7372	995
881	7382	987
882	7389	979
883	7397	970
884	7406	962
885	7414	954
886	7423	945
887	7432	937
888	7440	929
889	7448	920
890	7458	912
891	7466	904
892	7474	895
893	7484	887
894	7496	879
895	7506	871
896	7517	863
897	7526	854
898	7536	846
899	7547	838
900	7557	830
901	7569	822
902	7583	814
903	7596	806
904	7608	798
905	7619	790
906	7632	782
907	7641	774
908	7652	766
909	7664	757
910	7674	749
911	7684	741
912	7694	733
913	7702	724
914	7710	716
915	7719	707
916	7727	699
917	7736	691
918	7744	682
919	7752	674
920	7761	665
921	7770	657
922	7779	649
923	7788	640
924	7796	632
925	7805	623
926	7815	615
927	7824	607
928	7832	598
929	7841	590
930	7850	581
931	7858	573
932	7867	564
933	7874	556
934	7882	547
935	7891	539
936	7901	531
937	7911	522
938	7920	514
939	7929	506
940	7938	497
941	7945	489
942	7955	480
943	7963	472
944	7972	463
945	7980	455
946	7989	447
947	7997	438
948	8006	430
949	8013	421
950	8022	413
951	8030	404
952	8040	396
953	8048	388
954	8058	379
955	8067	371
956	8075	362
957	8084	354
958	8092	345
959	8102	337
960	8110	329
961	8118	320
962	8127	312
963	8136	303
964	8144	295
965	8153	286
966	8162	278
967	8172	270
968	8181	261
969	8190	253
970	8199	244
971	8208	236
972	8215	227
973	8224	219
974	8232	211
975	8241	202
976	8250	194
977	8258	185
978	8266	177
979	8274	168
980	8283	160
981	8292	151
982	8300	143
983	8309	135
984	8317	126
985	8325	118
986	8333	109
987	8341	101
988	8350	92
989	8358	84
990	8366	75
991	8374	67
992	8383	59
993	8391	50
994	8398	42
995	8406	33
996	8414	25
997	8422	16
998	8430	8
999	8438	0
