date,hs1,hs2,hs3,hs4
2011-10-31,-0.0033366329,0.040953726,0.14581531,-0.14603749
2011-11-30,-0.04693054,0.017551517,0.06265956,-0.037857413
2011-12-31,-0.08962226,-0.090669766,-0.012208625,-0.0030106986
2012-01-31,-0.030953994,-0.056529574,0.059411794,-0.010094493
2012-02-29,-0.05038662,-0.06340034,0.008161199,-0.03284863
2012-03-31,-0.098841004,-0.07396323,-0.023616357,0.024910593
2012-04-30,-0.1758796,0.07607392,0.00036056218,-0.15639055
2012-05-31,-0.076311946,0.01346823,-0.002465012,-0.09226733
2012-06-30,-0.04750023,0.04500338,0.0229906,-0.084577546
2012-07-31,-0.001134558,0.084274456,0.06798386,-0.108815014
2012-08-31,-0.02757086,0.06025613,0.05702607,-0.054609932
2012-09-30,-0.05961041,0.020322023,0.053000856,-0.049880594
2012-10-31,-0.020417135,0.113427185,0.0384329,-0.13989528
2012-11-30,0.04644336,0.13817771,0.05650146,-0.15200426
2012-12-31,0.06428545,0.16075906,0.08531187,-0.13594346
2013-01-31,0.024072645,0.1252569,0.0831472,-0.089179076
2013-02-28,0.1510379,0.19853336,0.06800054,-0.25573027
2013-03-31,0.023036702,0.069402136,0.015926167,-0.04245868
2013-04-30,0.1514552,0.17343897,0.037453063,-0.21555497
2013-05-31,0.09527797,0.17195056,0.031073201,-0.14169224
2013-06-30,0.064965,0.048208922,0.032849416,-0.105546266
2013-07-31,-0.006554409,-0.27383527,-0.15697756,0.02311395
2013-08-31,-0.0369805,-0.18172902,-0.2183497,0.069295235
2013-09-30,0.023926195,-0.08822432,-0.08095842,0.046274506
2013-10-31,0.008453239,-0.10645532,-0.12870021,0.038575374
2013-11-30,0.046096954,-0.05638041,-0.02961949,-0.03691915
2013-12-31,-0.07096711,-0.15855998,-0.11088385,0.0076769
2014-01-31,-0.14153656,0.039997097,-0.056543782,-0.13887738
2014-02-28,-0.12097397,-0.07259305,-0.080125935,-0.020746857
2014-03-31,-0.11303766,-0.13889727,-0.0091726,0.043725725
2014-04-30,-0.080317095,-0.027270302,0.011252258,-0.0026338093
2014-05-31,-0.017177423,-0.05473962,0.02160332,-0.014334713
2014-06-30,0.04993899,0.027644182,0.09983655,-0.063908726
2014-07-31,0.026107581,0.066383496,0.12461829,-0.088523395
2014-08-31,0.05294009,0.07775757,0.08725843,-0.086272575
2014-09-30,0.001713788,-0.07294623,0.017178945,-0.012353081
2014-10-31,-0.019836213,-0.016657164,0.020279026,0.017140679
2014-11-30,0.018395307,-0.016656848,0.032054037,0.0056052026
2014-12-31,-0.005051246,0.028184151,0.08250358,0.001984455
2015-01-31,-0.08018365,-0.11056797,-0.030394893,0.043766867
2015-02-28,-0.058547437,-0.113899685,-0.0727582,0.05741235
2015-03-31,-0.055269025,-0.08284911,-0.000817003,0.052622475
2015-04-30,-0.06937338,-0.034035973,0.015193879,0.033378966
2015-05-31,-0.0273114,-0.038469926,0.007188453,0.0046282704
2015-06-30,0.08313523,0.064915165,0.05672499,-0.10486426
2015-07-31,0.034355327,0.022115728,0.017291905,0.0012077728
2015-08-31,0.034024864,-0.025640395,-0.012913565,0.021267453
2015-09-30,-0.09137195,-0.1171876,-0.15812905,0.017670756
2015-10-31,-0.07486901,-0.0019384786,-0.06912098,0.03608383
2015-11-30,-0.09570502,-0.09020566,0.0014024009,0.04314254
2015-12-31,-0.007049303,0.027070656,0.058783352,-0.23365071
2016-01-31,0.009836641,0.061401203,0.010631258,-0.05559056
2016-02-29,0.010038353,-0.0011096857,-0.010881064,0.031704463
2016-03-31,0.022258148,-0.05886792,0.07297499,0.006833046
2016-04-30,0.00600546,0.011226577,0.04687151,-0.0088638645
2016-05-31,-0.014489015,-0.035006426,0.026960937,-0.0018680865
2016-06-30,-0.0032051469,-0.030508656,0.061642084,-0.037979975
2016-07-31,0.011137953,0.03960208,0.048505805,-0.013201001
2016-08-31,-0.013438529,-0.004275325,0.03844157,0.010180561
2016-09-30,-0.062495336,0.0069223195,0.06082213,-0.035347804
2016-10-31,-0.042118143,0.009567553,0.03911659,0.00044299045
2016-11-30,-0.040888384,0.007942737,0.020674013,0.03316672
2016-12-31,-0.02121053,0.048176378,-0.00872565,-0.020983629
2017-01-31,0.08037473,-0.021612952,-0.04633106,0.077597894
2017-02-28,0.11649606,-0.16346665,-0.10278902,0.112011164
2017-03-31,0.14477958,-0.021267975,0.034848556,-0.021742307
2017-04-30,0.13280073,-0.025191544,0.015169267,-0.00029412354
2017-05-31,0.06983561,0.056739874,0.021348365,-0.0802308
2017-06-30,0.028711619,0.0013539145,0.016930608,-0.048217647
2017-07-31,-0.12019633,0.11511999,-0.003599156,-0.17110598
2017-08-31,-0.07615992,0.036739845,0.029011704,-0.14386737
2017-09-30,0.009321501,0.106579,0.08973382,-0.20281456
2017-10-31,0.007816658,0.084166616,0.09293665,-0.102152936
2017-11-30,-0.013466718,0.049226373,0.033020847,-0.046620518
2017-12-31,0.0015565059,0.06126887,0.01236717,-0.06987339
2018-01-31,0.06619942,-0.020851279,-0.023917958,0.031575624
2018-02-28,-0.06635394,0.043018695,-0.032485183,-0.01810902
2018-03-31,-0.036232267,0.050499897,-0.02149165,-0.013601235
