date,year,permno,ticker,ret,ret_pred,me_last_year
2018-10-31,2018,59328,INTC,-0.0086699053645133,0.008300308799397024,86896332.69910876
2018-11-30,2018,15408,KHC,-0.0586684048175811,0.008528128134286933,920729627.3825722
2018-11-30,2018,66800,AIG,0.0474690981209278,0.008470459668493474,218982177.0087687
2018-11-30,2018,87842,MET,0.0937121286988258,0.008466908053010591,78983857.86800575
2018-11-30,2018,57665,NKE,0.0039978921413421,0.008323471640799473,274562252.09642154
2018-11-30,2018,87055,COST,0.0140838641673326,0.008314153410589178,89300797.02812576
2018-11-30,2018,90319,GOOG,0.0174861717969179,0.008310985984641955,96655879.2264436
2018-11-30,2018,12490,IBM,0.0901844948530197,0.008304536896408074,54101364.33327516
2018-11-30,2018,11552,CELG,0.0086592566221952,0.008303680444375659,193695379.24319777
2018-11-30,2018,15579,TXN,0.0756220668554306,0.008303420447782997,97560864.43022601
2018-11-30,2018,19393,BMY,0.0577759817242622,0.008303124534501485,58625281.53248628
2018-12-31,2018,15408,KHC,-0.1580594331026077,0.008664631713734152,920729627.3825722
2018-12-31,2018,12060,GE,0.0106666898354887,0.008626765004352083,59731992.71991348
2018-12-31,2018,17017,NES,-0.1229947060346603,0.008622368235515465,73837766.55342038
2018-12-31,2018,66800,AIG,-0.0813872888684272,0.008584032411566576,218982177.0087687
2018-12-31,2018,87842,MET,-0.0799910277128219,0.008477782551252599,78983857.86800575
2018-12-31,2018,57665,NKE,-0.0130458371713757,0.008406989886589021,274562252.09642154
2018-12-31,2018,11552,CELG,-0.1125727593898773,0.008392557753339575,193695379.24319777
2018-12-31,2018,12490,IBM,-0.0852981284260749,0.008390345311395191,54101364.33327516
2018-12-31,2018,87055,COST,-0.1192061230540275,0.008385142971424465,89300797.02812576
2018-12-31,2018,86783,BKNG,-0.0895722582936286,0.008384844246008155,142072465.5495135
2019-01-31,2019,15408,KHC,0.1166356950998306,0.008029663449411585,921890881.8408966
2019-01-31,2019,70519,C,0.2381866574287414,0.007874486332753013,73017188.28250027
2019-01-31,2019,11552,CELG,0.3802465796470642,0.0077898259122216925,215991145.0251738
2019-01-31,2019,87055,COST,0.0536056049168109,0.007780045862179559,73270619.12644577
2019-01-31,2019,40539,TJX,0.1115332543849945,0.007779385725472195,66818667.00689316
2019-01-31,2019,86783,BKNG,0.0640900656580925,0.007776733851656954,102549954.54279582
2019-01-31,2019,57665,NKE,0.1043970584869384,0.007774945383627325,305726117.9442304
2019-01-31,2019,10145,HON,0.087117850780487,0.007769010796530829,976717967.7019316
2019-01-31,2019,12490,IBM,0.1825459748506546,0.00776876861265047,84547497.51960246
2019-01-31,2019,90319,GOOG,0.0774479955434799,0.007768079228307993,124922077.34407552
2019-02-28,2019,15408,KHC,-0.309404969215393,0.007989962612809105,921890881.8408966
2019-02-28,2019,87267,BLK,0.0677941963076591,0.007786017165568787,113100810.78512955
2019-02-28,2019,86783,BKNG,-0.0740775167942047,0.007759702595540453,102549954.54279582
2019-02-28,2019,87055,COST,0.0218049697577953,0.007742748419119396,73270619.12644577
2019-02-28,2019,40539,TJX,0.0352905951440334,0.007740659030497129,66818667.00689316
2019-02-28,2019,57665,NKE,0.0470201037824153,0.007737862112042945,305726117.9442304
2019-02-28,2019,22752,MRK,0.0921671465039253,0.007734496342365993,103948294.20728175
2019-02-28,2019,18163,PG,0.021561125293374,0.007734193183562099,5379764.030489445
2019-02-28,2019,14008,AMGN,0.0236224755644798,0.007734040690625948,68461389.79249637
2019-02-28,2019,12490,IBM,0.0392799191176891,0.0077334667541947635,84547497.51960246
2019-03-31,2019,15408,KHC,-0.0042180507443845,0.008248753834852816,921890881.8408966
2019-03-31,2019,87267,BLK,-0.0283155236393213,0.007890581822157154,113100810.78512955
2019-03-31,2019,86783,BKNG,0.0282079353928565,0.007835897373923118,102549954.54279582
2019-03-31,2019,87055,COST,0.1069762855768203,0.007825515003776661,73270619.12644577
2019-03-31,2019,40539,TJX,0.0374341607093811,0.007822967938508963,66818667.00689316
2019-03-31,2019,57665,NKE,-0.0151639357209205,0.007815493016986119,305726117.9442304
2019-03-31,2019,90319,GOOG,0.0446850694715976,0.00781457338874752,124922077.34407552
2019-03-31,2019,22752,MRK,0.0298929419368505,0.007813794147685212,103948294.20728175
2019-03-31,2019,26403,DIS,-0.0160403903573751,0.007812910996591408,51516623.93044281
2019-03-31,2019,12490,IBM,0.0215014927089214,0.00781173325512886,84547497.51960246
2019-04-30,2019,87267,BLK,0.1354095935821533,0.007808280368606191,113100810.78512955
2019-04-30,2019,70519,C,0.13629050552845,0.007751576633240379,73017188.28250027
2019-04-30,2019,57665,NKE,0.0429878011345863,0.007737556540307034,305726117.9442304
2019-04-30,2019,86783,BKNG,0.0630863234400749,0.007736023157114223,102549954.54279582
2019-04-30,2019,40539,TJX,0.0313851162791252,0.007728961668341625,66818667.00689316
2019-04-30,2019,15408,KHC,0.0180704481899738,0.007727453129198201,921890881.8408966
2019-04-30,2019,87055,COST,0.0140001624822616,0.0077241972613797585,73270619.12644577
2019-04-30,2019,18163,PG,0.0305228270590305,0.007721039067900569,5379764.030489445
2019-04-30,2019,14008,AMGN,-0.0561111085116863,0.007720156484997418,68461389.79249637
2019-04-30,2019,12490,IBM,-0.0058823656290769,0.007719594546518634,84547497.51960246
2019-05-31,2019,87055,COST,-0.0215859450399875,0.007808565411766992,73270619.12644577
2019-05-31,2019,57665,NKE,-0.1192075833678245,0.007808563551940642,305726117.9442304
2019-05-31,2019,40539,TJX,-0.0794460624456405,0.007804162159472243,66818667.00689316
2019-05-31,2019,18163,PG,-0.0335274189710617,0.007800434423302775,5379764.030489445
2019-05-31,2019,90319,GOOG,-0.0771168023347854,0.007795859737589104,124922077.34407552
2019-05-31,2019,10145,HON,-0.048954714089632,0.007793856652798157,976717967.7019316
2019-05-31,2019,12490,IBM,-0.0831254422664642,0.007791214038094724,84547497.51960246
2019-05-31,2019,89525,CMCSA,-0.058120809495449,0.007789507498351768,141784294.94580078
2019-05-31,2019,55976,WMT,-0.0084596844390034,0.0077879487317453295,116746204.77028656
2019-05-31,2019,60097,MDT,0.0424502231180667,0.00778768756218348,273125478.67666274
2019-06-30,2019,57665,NKE,0.088281013071537,0.0078072161881209195,305726117.9442304
2019-06-30,2019,40539,TJX,0.0515012964606285,0.0078040167210440894,66818667.00689316
2019-06-30,2019,87055,COST,0.1030136421322822,0.007801319469548876,73270619.12644577
2019-06-30,2019,55976,WMT,0.0892152488231659,0.00779594420782389,116746204.77028656
2019-06-30,2019,18163,PG,0.0654940977692604,0.007795323540541599,5379764.030489445
2019-06-30,2019,10145,HON,0.0625646561384201,0.007793479864821399,976717967.7019316
2019-06-30,2019,12490,IBM,0.085912249982357,0.007792136025395787,84547497.51960246
2019-06-30,2019,90319,GOOG,-0.0214188434183597,0.00779140442919542,124922077.34407552
2019-06-30,2019,19393,BMY,-0.0004408300155773,0.007791225698578348,59369372.32716624
2019-06-30,2019,89525,CMCSA,0.031219482421875,0.00778303584698684,141784294.94580078
2019-07-31,2019,87055,COST,0.0430257879197597,0.00781912998083596,73270619.12644577
2019-07-31,2019,40539,TJX,0.0317700505256652,0.007814935277568096,66818667.00689316
